pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_correcta
¿Cuál es la capital de Argentina?,Córdoba,Rosario,Buenos Aires,3
¿En qué año se declaró la independencia de Argentina?,1810,1816,1820,2
¿Quién fue el primer presidente de Argentina?,Bernardino Rivadavia,Domingo Sarmiento,Julio A. Roca,1
¿Qué famoso autor argentino escribió 'El Aleph'?,Julio Cortázar,Jorge Luis Borges,Adolfo Bioy Casares,2
¿Cuál es el deporte más popular en Argentina?,Rugby,Fútbol,Básquet,2
¿En qué año murió Eva Perón?,1947,1952,1960,2
¿Cuál es la montaña más alta de Argentina?,Fitz Roy,Aconcagua,Cerro Torre,2
¿En qué ciudad se encuentra el Obelisco?,Mendoza,Córdoba,Buenos Aires,3
¿Qué músico argentino fue el líder de la banda Soda Stereo?,Charly García,Fito Páez,Gustavo Cerati,3
"¿Quién es considerado el ""Padre de la Patria" en Argentina?",José de San Martín,Manuel Belgrano,Bartolomé Mitre,1
¿Qué bebida tradicional argentina se toma en una calabaza con una bombilla?,Café,Té,Mate,3
¿En qué provincia se encuentra la ciudad de Mar del Plata?,Buenos Aires,Córdoba,Santa Fe,1
¿Quién escribió el poema épico 'Martín Fierro'?,José Hernández,Esteban Echeverría,Ricardo Güiraldes,1
"¿Qué famosa cantante argentina es conocida como ""La Voz del Tango""?",Mercedes Sosa,Virginia Luque,Libertad Lamarque,3
¿En qué ciudad se celebra anualmente el Festival Nacional de la Vendimia?,Salta,Mendoza,San Juan,2